xf,lnx,lnq
10.38788736115973,-16.400000000000006,0.8
11.887755627017974,-16.400000000000006,1.3
13.810683056709026,-16.400000000000006,1.8
16.276132917614156,-16.400000000000006,2.3
19.43739456881444,-16.400000000000006,2.8
23.49116163213949,-16.400000000000006,3.3
28.689826129976264,-16.400000000000006,3.8
35.357258422876754,-16.400000000000006,4.3
43.9090612417263,-16.400000000000006,4.8
54.878566518056424,-16.400000000000006,5.3
68.95020366124534,-16.400000000000006,5.8
87.00232999008595,-16.400000000000006,6.3
110.16220718073093,-16.400000000000006,6.8
139.87656904935665,-16.400000000000006,7.3
178.00220351064064,-16.400000000000006,7.8
226.92222646291302,-16.400000000000006,8.3
289.6953363722825,-16.400000000000006,8.8
370.2474065302313,-16.400000000000006,9.3
473.6174270983371,-16.400000000000006,9.8
9.109681525382614,-16.200000000000006,0.3
10.248661331692844,-16.200000000000006,0.8
11.708802919024805,-16.200000000000006,1.3
13.580702598208198,-16.200000000000006,1.8
15.980609658628826,-16.200000000000006,2.3
19.057686001568044,-16.200000000000006,2.8
23.003324683615592,-16.200000000000006,3.3
28.06311065907617,-16.200000000000006,3.8
34.55217259304543,-16.200000000000006,4.3
42.87488712384891,-16.200000000000006,4.8
53.550169715756745,-16.200000000000006,5.3
67.2439363689706,-16.200000000000006,5.8
84.81076990395205,-16.200000000000006,6.3
107.34740150100134,-16.200000000000006,6.8
136.26135884205183,-16.200000000000006,7.3
173.3590830279158,-16.200000000000006,7.8
220.95903707349035,-16.200000000000006,8.3
282.03689578595845,-16.200000000000006,8.8
360.4119185094611,-16.200000000000006,9.3
460.98618877803193,-16.200000000000006,9.8
9.005788757810722,-16.000000000000007,0.3
10.115080554923171,-16.000000000000007,0.8
11.537087117909447,-16.000000000000007,1.3
13.360001635996886,-16.000000000000007,1.8
15.696987228976381,-16.000000000000007,2.3
18.693242409237627,-16.000000000000007,2.8
22.535070285146684,-16.000000000000007,3.3
27.461519115863556,-16.000000000000007,3.8
33.77932295672065,-16.000000000000007,4.3
41.88207792192546,-16.000000000000007,4.8
52.27485500909628,-16.000000000000007,5.3
65.60579112504891,-16.000000000000007,5.8
82.70663729168916,-16.000000000000007,6.3
104.64480442344127,-16.000000000000007,6.8
132.7901677643993,-16.000000000000007,7.3
